1.5463,0.00036472
1.5769,0.00030779
1.6076,0.00027584
1.6382,0.00023203
1.6688,0.00020809
1.6994,0.00017863
1.73,0.0001494
1.7606,0.0001326
1.7913,0.00011083
1.8219,9.8073e-05
1.8525,8.2371e-05
1.8831,7.1003e-05
1.9137,6.1741e-05
1.9443,4.9974e-05
1.975,4.4454e-05
2.0056,3.6001e-05
2.0362,3.1864e-05
2.0668,2.5462e-05
2.0974,2.1852e-05
2.128,1.8251e-05
2.1586,1.4173e-05
2.1893,1.2015e-05
2.2199,9.5928e-06
2.2505,7.8027e-06
2.2811,6.1319e-06
2.3117,4.7178e-06
2.3423,4.0129e-06
2.373,2.8082e-06
2.4036,2.485e-06
2.4342,1.9283e-06
2.4648,1.5272e-06
2.4954,1.2459e-06
2.526,1.0693e-06
2.5567,8.7231e-07
2.5873,7.6737e-07
2.6179,6.5256e-07
2.6485,5.8665e-07
2.6791,4.9752e-07
2.7097,4.7985e-07
2.7404,3.8419e-07
2.771,3.9095e-07
2.8016,3.0892e-07
2.8322,3.158e-07
2.8628,2.71e-07
2.8934,2.3431e-07
2.924,2.2063e-07
2.9547,1.8809e-07
2.9853,1.7574e-07
3.0159,1.4769e-07
3.0465,1.3797e-07
3.0771,1.1569e-07
3.1077,1.0603e-07
3.1384,8.8146e-08
3.169,8.0617e-08
3.1996,6.7607e-08
3.2302,6.1935e-08
3.2608,5.1592e-08
3.2914,4.7726e-08
3.3221,3.8278e-08
3.3527,3.5897e-08
3.3833,2.8643e-08
3.4139,2.6715e-08
3.4445,2.1197e-08
3.4751,1.9738e-08
3.5057,1.6004e-08
3.5364,1.3814e-08
3.567,1.1578e-08
3.5976,9.885e-09
3.6282,8.0617e-09
3.6588,6.768e-09
3.6894,5.4883e-09
3.7201,4.568e-09
3.7507,2.4838e-09
3.7813,2.3473e-09
3.8119,4.7698e-10
